,Year,Month,CPI
1128,2007,1,202.416
1129,2007,2,203.499
1130,2007,3,205.352
1131,2007,4,206.686
1132,2007,5,207.949
1133,2007,6,208.352
1134,2007,7,208.299
1135,2007,8,207.917
1136,2007,9,208.49
1137,2007,10,208.936
1138,2007,11,210.177
1139,2007,12,210.036
1140,2008,1,211.08
1141,2008,2,211.693
1142,2008,3,213.528
1143,2008,4,214.823
1144,2008,5,216.632
1145,2008,6,218.815
1146,2008,7,219.964
1147,2008,8,219.086
1148,2008,9,218.783
1149,2008,10,216.573
1150,2008,11,212.425
1151,2008,12,210.228
1152,2009,1,211.143
1153,2009,2,212.193
1154,2009,3,212.709
1155,2009,4,213.24
1156,2009,5,213.856
1157,2009,6,215.693
1158,2009,7,215.351
1159,2009,8,215.834
1160,2009,9,215.969
1161,2009,10,216.177
1162,2009,11,216.33
1163,2009,12,215.949
1164,2010,1,216.687
1165,2010,2,216.741
1166,2010,3,217.631
1167,2010,4,218.009
1168,2010,5,218.178
1169,2010,6,217.965
1170,2010,7,218.011
1171,2010,8,218.312
1172,2010,9,218.439
1173,2010,10,218.711
1174,2010,11,218.803
1175,2010,12,219.179
1176,2011,1,220.223
1177,2011,2,221.309
1178,2011,3,223.467
1179,2011,4,224.906
1180,2011,5,225.964
1181,2011,6,225.722
1182,2011,7,225.922
1183,2011,8,226.545
1184,2011,9,226.889
1185,2011,10,226.421
1186,2011,11,226.23
1187,2011,12,225.672
1188,2012,1,226.665
1189,2012,2,227.663
1190,2012,3,229.392
1191,2012,4,230.085
1192,2012,5,229.815
1193,2012,6,229.478
1194,2012,7,229.104
1195,2012,8,230.379
1196,2012,9,231.407
1197,2012,10,231.317
1198,2012,11,230.221
1199,2012,12,229.601
1200,2013,1,230.28
1201,2013,2,232.166
1202,2013,3,232.773
1203,2013,4,232.531
1204,2013,5,232.945
1205,2013,6,233.504
1206,2013,7,233.596
1207,2013,8,233.877
1208,2013,9,234.149
1209,2013,10,233.546
1210,2013,11,233.069
1211,2013,12,233.049
1212,2014,1,233.916
1213,2014,2,234.781
1214,2014,3,236.293
1215,2014,4,237.072
1216,2014,5,237.9
1217,2014,6,238.343
1218,2014,7,238.25
1219,2014,8,237.852
1220,2014,9,238.031
1221,2014,10,237.433
1222,2014,11,236.151
1223,2014,12,234.812
1224,2015,1,233.707
1225,2015,2,234.722
1226,2015,3,236.119
1227,2015,4,236.599
1228,2015,5,237.805
1229,2015,6,238.638
1230,2015,7,238.654
1231,2015,8,238.316
1232,2015,9,237.945
1233,2015,10,237.838
1234,2015,11,237.336
1235,2015,12,236.525
1236,2016,1,236.916
1237,2016,2,237.111
1238,2016,3,238.132
1239,2016,4,239.261
1240,2016,5,240.229
1241,2016,6,241.018
1242,2016,7,240.628
1243,2016,8,240.849
1244,2016,9,241.428
1245,2016,10,241.729
1246,2016,11,241.353
1247,2016,12,241.432
1248,2017,1,242.839
1249,2017,2,243.603
1250,2017,3,243.801
1251,2017,4,244.524
1252,2017,5,244.733
1253,2017,6,244.955
1254,2017,7,244.786
1255,2017,8,245.519
1256,2017,9,246.819
1257,2017,10,246.663
1258,2017,11,246.669
1259,2017,12,246.524
1260,2018,1,247.867
1261,2018,2,248.991
1262,2018,3,249.554
1263,2018,4,250.546
1264,2018,5,251.588
1265,2018,6,251.989
1266,2018,7,252.006
1267,2018,8,252.146
1268,2018,9,252.439
1269,2018,10,252.885
1270,2018,11,252.038
1271,2018,12,251.233
1272,2019,1,251.712
1273,2019,2,252.776
1274,2019,3,254.202
1275,2019,4,255.548
1276,2019,5,256.092
1277,2019,6,256.143
1278,2019,7,256.571
1279,2019,8,256.558
1280,2019,9,256.759
1281,2019,10,257.346
1282,2019,11,257.208
1283,2019,12,256.974
1284,2020,1,257.971
1285,2020,2,258.678
1286,2020,3,258.115
1287,2020,4,256.389
1288,2020,5,256.394
1289,2020,6,257.797
1290,2020,7,259.101
1291,2020,8,259.918
1292,2020,9,260.28
1293,2020,10,260.388
1294,2020,11,260.229
1295,2020,12,260.474
1296,2021,1,261.582
1297,2021,2,263.014
1298,2021,3,264.877
1299,2021,4,267.054
1300,2021,5,269.195
1301,2021,6,271.696
1302,2021,7,273.003
